"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"24","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","14","28","CyclomaticComplexity","The class 'BI_PSPB_CmsCtrl' has a total cyclomatic complexity of 72 (highest 27).","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"25","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","14","28","TooManyFields","Too many fields","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#toomanyfields","Design","pmd"
"26","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","54","23","CyclomaticComplexity","The method 'retrieveMediaFromCMS(String)' has a cyclomatic complexity of 10.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"27","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","125","23","CyclomaticComplexity","The method 'retrieveNewsFromCMS(String)' has a cyclomatic complexity of 11.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"28","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","258","23","CyclomaticComplexity","The method 'retrieveMediaFromCMSNews(String)' has a cyclomatic complexity of 10.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"29","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","358","49","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"30","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","397","21","StdCyclomaticComplexity","The method 'updatereaction' has a Standard Cyclomatic Complexity of 20.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"31","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","397","21","NcssMethodCount","The method 'updatereaction()' has an NCSS line count of 77","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#ncssmethodcount","Design","pmd"
"32","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","397","21","CognitiveComplexity","The method 'updatereaction(String, String)' has a cognitive complexity of 58, current threshold is 15","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"33","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","397","21","CyclomaticComplexity","The method 'updatereaction(String, String)' has a cyclomatic complexity of 27.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"34","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","408","49","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"35","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","432","7","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"36","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","445","6","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"37","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrl.cls","460","7","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"38","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrlTest.cls","25","14","ApexUnitTestShouldNotUseSeeAllDataTrue","Apex unit tests should not use @isTest(seeAllData = true)","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_bestpractices.html#apexunittestshouldnotuseseealldatatrue","Best Practices","pmd"
"39","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrlTest.cls","48","14","ApexUnitTestShouldNotUseSeeAllDataTrue","Apex unit tests should not use @isTest(seeAllData = true)","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_bestpractices.html#apexunittestshouldnotuseseealldatatrue","Best Practices","pmd"
"40","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CmsCtrlTest.cls","70","14","ApexUnitTestShouldNotUseSeeAllDataTrue","Apex unit tests should not use @isTest(seeAllData = true)","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_bestpractices.html#apexunittestshouldnotuseseealldatatrue","Best Practices","pmd"
"41","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CommunityUsername.cls","122","22","CognitiveComplexity","The method 'insertCommunityUsername(String, String)' has a cognitive complexity of 22, current threshold is 15","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"42","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CommunityUsername.cls","122","22","CyclomaticComplexity","The method 'insertCommunityUsername(String, String)' has a cyclomatic complexity of 13.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"43","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CommunityUsername.cls","140","7","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"44","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CommunityUsername.cls","147","6","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"45","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CreateCaseCtrl.cls","25","19","ExcessiveParameterList","Avoid long parameter lists.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"46","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CreateCaseCtrl.cls","25","19","CyclomaticComplexity","The method 'createCase(String, String, String, String)' has a cyclomatic complexity of 15.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"47","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CreateCaseCtrl.cls","107","19","ExcessiveParameterList","Avoid long parameter lists.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"48","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CreateCaseCtrl.cls","107","19","CyclomaticComplexity","The method 'draftCase(String, String, String, String)' has a cyclomatic complexity of 15.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"49","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_CreateCaseCtrl.cls","189","14","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"50","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_DlqiQuestionariesAN.cls","8","27","StdCyclomaticComplexity","The class 'BI_PSPB_DlqiQuestionariesAN' has a Standard Cyclomatic Complexity of 17 (Highest = 16).","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"51","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_DlqiQuestionariesAN.cls","8","27","CognitiveComplexity","The class 'BI_PSPB_DlqiQuestionariesAN' has a total cognitive complexity of 52 (highest 52), current threshold is 50","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"52","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_DlqiQuestionariesAN.cls","22","14","StdCyclomaticComplexity","The method 'execute' has a Standard Cyclomatic Complexity of 16.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"53","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_DlqiQuestionariesAN.cls","22","14","NcssMethodCount","The method 'execute()' has an NCSS line count of 61","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#ncssmethodcount","Design","pmd"
"54","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_DlqiQuestionariesAN.cls","22","14","CognitiveComplexity","The method 'execute(SchedulableContext)' has a cognitive complexity of 52, current threshold is 15","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"55","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_DlqiQuestionariesAN.cls","22","14","CyclomaticComplexity","The method 'execute(SchedulableContext)' has a cyclomatic complexity of 16.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"56","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_DlqiQuestionariesAN.cls","38","51","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"57","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_DlqiQuestionariesAN.cls","56","56","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"58","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","13","27","StdCyclomaticComplexity","The class 'BI_PSPB_EmojiReactionCtrl' has a Standard Cyclomatic Complexity of 5 (Highest = 13).","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"59","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","13","27","CognitiveComplexity","The class 'BI_PSPB_EmojiReactionCtrl' has a total cognitive complexity of 107 (highest 49), current threshold is 50","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"60","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","13","27","CyclomaticComplexity","The class 'BI_PSPB_EmojiReactionCtrl' has a total cyclomatic complexity of 75 (highest 20).","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"61","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","13","27","TooManyFields","Too many fields","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#toomanyfields","Design","pmd"
"62","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","52","50","StdCyclomaticComplexity","The method 'saveEmoji' has a Standard Cyclomatic Complexity of 13.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"63","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","52","50","NcssMethodCount","The method 'saveEmoji()' has an NCSS line count of 55","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#ncssmethodcount","Design","pmd"
"64","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","52","50","CognitiveComplexity","The method 'saveEmoji(String, String, String)' has a cognitive complexity of 49, current threshold is 15","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"65","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","52","50","CyclomaticComplexity","The method 'saveEmoji(String, String, String)' has a cyclomatic complexity of 20.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"66","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","69","6","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"67","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","111","8","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"68","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","121","7","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"69","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","209","21","CognitiveComplexity","The method 'deleteEmojiReaction(String, String)' has a cognitive complexity of 30, current threshold is 15","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"70","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","209","21","CyclomaticComplexity","The method 'deleteEmojiReaction(String, String)' has a cyclomatic complexity of 15.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"71","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrl.cls","223","6","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"72","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_EmojiReactionCtrlTest.cls","10","14","CyclomaticComplexity","The class 'BI_PSPB_EmojiReactionCtrlTest' has a total cyclomatic complexity of 42 (highest 2).","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"73","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_FeedItemCtrl.cls","13","27","CognitiveComplexity","The class 'BI_PSPB_FeedItemCtrl' has a total cognitive complexity of 180 (highest 23), current threshold is 50","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"74","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_FeedItemCtrl.cls","13","27","CyclomaticComplexity","The class 'BI_PSPB_FeedItemCtrl' has a total cyclomatic complexity of 113 (highest 14).","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"75","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_FeedItemCtrl.cls","13","27","TooManyFields","Too many fields","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#toomanyfields","Design","pmd"
"76","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_FeedItemCtrl.cls","49","21","CognitiveComplexity","The method 'softDeleteFeedItem(String)' has a cognitive complexity of 21, current threshold is 15","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"77","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_FeedItemCtrl.cls","49","21","CyclomaticComplexity","The method 'softDeleteFeedItem(String)' has a cyclomatic complexity of 12.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"78","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_FeedItemCtrl.cls","63","7","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"79","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_FeedItemCtrl.cls","70","6","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"80","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_FeedItemCtrl.cls","100","21","CognitiveComplexity","The method 'insertFeedItem(String, String, String)' has a cognitive complexity of 22, current threshold is 15","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"81","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_FeedItemCtrl.cls","100","21","CyclomaticComplexity","The method 'insertFeedItem(String, String, String)' has a cyclomatic complexity of 14.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"82","3","C:\Users\CVHS\Documents\GitHub\ToScan\SonarScan\force-app\main\default\classes\BI_PSPB_FeedItemCtrl.cls","118","7","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
